English,IPA
shape,/ʃeɪp/
star,/stɑr/
joined,/dʒɔɪnd/
refer,/rʌfɝ/
command,/kʌmænd/
existing,/ɪɡzɪstɪŋ/
cards,/kɑrdz/
leaders,/lidɝz/
figure,/fɪɡjɝ/
plays,/pleɪz/
piece,/pis/
houses,/haʊsʌz/
classes,/klæsʌz/
conflict,/kɑnflɪkt/
fields,/fildz/
stars,/stɑrz/
composed,/kʌmpoʊzd/
positions,/pʌzɪʃʌnz/
vary,/vɛri/
round,/raʊnd/
gain,/ɡeɪn/
impact,/ɪmpækt/
slightly,/slaɪtli/
behavior,/bɪheɪvjɝ/
look,/lʊk/
nothing,/nʌθɪŋ/
raised,/reɪzd/
hands,/hændz/
reasons,/rizʌnz/
toward,/tʌwɔrd/
choice,/tʃɔɪs/
heart,/hɑrt/
identified,/aɪdɛntʌfaɪd/
creating,/krieɪtɪŋ/
maintain,/meɪnteɪn/
refers,/rʌfɝz/
condition,/kʌndɪʃʌn/
constructed,/kʌnstrʌktʌd/
overall,/oʊvɝɔl/
reading,/rɛdɪŋ/
marked,/mɑrkt/
fourth,/fɔrθ/
division,/dɪvɪʒʌn/
failure,/feɪljɝ/
saying,/seɪɪŋ/
tour,/tʊr/
recently,/risʌntli/
formal,/fɔrmʌl/
unable,/ʌneɪbʌl/
needs,/nidz/
mind,/maɪnd/
stations,/steɪʃʌnz/
digital,/dɪdʒʌtʌl/
religion,/rɪlɪdʒʌn/
think,/θɪŋk/
grew,/ɡru/
represent,/rɛprʌzɛnt/
typical,/tɪpʌkʌl/
parents,/pɛrʌnts/
display,/dɪspleɪ/
competition,/kɑmpʌtɪʃʌn/
acid,/æsʌd/
fell,/fɛl/
week,/wik/
determine,/dʌtɝmʌn/
protection,/prʌtɛkʃʌn/
wave,/weɪv/
users,/juzɝz/
build,/bɪld/
processes,/prɑsɛsʌz/
projects,/prɑdʒɛkts/
technique,/tɛknik/
fish,/fɪʃ/
cast,/kæst/
drive,/draɪv/
starting,/stɑrtɪŋ/
expanded,/ɪkspændʌd/
affected,/ʌfɛktʌd/
entirely,/ɪntaɪɝli/
combination,/kɑmbʌneɪʃʌn/
forward,/fɔrwɝd/
resistance,/rɪzɪstʌns/
entered,/ɛntɝd/
factor,/fæktɝ/
equivalent,/ɪkwɪvʌlʌnt/
attempts,/ʌtɛmpts/
episode,/ɛpʌsoʊd/
attempted,/ʌtɛmptʌd/
providing,/prʌvaɪdɪŋ/
sector,/sɛktɝ/
external,/ɪkstɝnʌl/
increases,/ɪnkrisʌz/
university,/junʌvɝsʌti/
ice,/aɪs/
ones,/wʌnz/
achieved,/ʌtʃivd/
decades,/dɛkeɪdz/
expressed,/ɪksprɛst/
double,/dʌbʌl/
demand,/dɪmænd/
regarded,/rʌɡɑrdʌd/
architecture,/ɑrkʌtɛktʃɝ/
audience,/ɑdiʌns/
issued,/ɪʃud/
fight,/faɪt/
citizens,/sɪtʌzʌnz/
match,/mætʃ/
aid,/eɪd/
limit,/lɪmʌt/
sexual,/sɛkʃuʌl/
goods,/ɡʊdz/
seems,/simz/
costs,/kɑsts/
distinct,/dɪstɪŋkt/
granted,/ɡræntʌd/
perhaps,/pɝhæps/
improved,/ɪmpruvd/
green,/ɡrin/
file,/faɪl/
importance,/ɪmpɔrtʌns/
electric,/ɪlɛktrɪk/
significantly,/sɪɡnɪfɪkʌntli/
cycle,/saɪkʌl/
normally,/nɔrmʌli/
components,/kʌmpoʊnʌnts/
describes,/dɪskraɪbz/
creation,/krieɪʃʌn/
layer,/leɪɝ/
tree,/tri/
bring,/brɪŋ/
fighting,/faɪtɪŋ/
stop,/stɑp/
core,/kɔr/
format,/fɔrmæt/
increasingly,/ɪnkrisɪŋli/
thousands,/θaʊzʌndz/
animal,/ænʌmʌl/
leader,/lidɝ/
understanding,/ʌndɝstændɪŋ/
break,/breɪk/
unknown,/ʌnnoʊn/
classical,/klæsɪkʌl/
extensive,/ɪkstɛnsɪv/
sign,/saɪn/
host,/hoʊst/
causing,/kɑzɪŋ/
destroyed,/dɪstrɔɪd/
protect,/prʌtɛkt/
describe,/dɪskraɪb/
arrived,/ɝaɪvd/
square,/skwɛr/
voice,/vɔɪs/
industrial,/ɪndʌstriʌl/
purposes,/pɝpʌsʌz/
magnetic,/mæɡnɛtɪk/
containing,/kʌnteɪnɪŋ/
finished,/fɪnɪʃt/
follows,/fɑloʊz/
nation,/neɪʃʌn/
rare,/rɛr/
cars,/kɑrz/
continues,/kʌntɪnjuz/
planned,/plænd/
radiation,/reɪdieɪʃʌn/
recording,/rʌkɔrdɪŋ/
advanced,/ʌdvænst/
engines,/ɛndʒʌnz/
principle,/prɪnsʌpʌl/
student,/studʌnt/
islands,/aɪlʌndz/
philosophy,/fʌlɑsʌfi/
sought,/sɔt/
officials,/ʌfɪʃʌlz/
rapidly,/ræpʌdli/
recognized,/rɛkʌɡnaɪzd/
secondary,/sɛkʌndɛri/
particles,/pɑrtʌkʌlz/
pattern,/pætɝn/
staff,/stæf/
covered,/kʌvɝd/
runs,/rʌnz/
traffic,/træfɪk/
awarded,/ʌwɔrdʌd/
lives,/lɪvz/
deep,/dip/
expansion,/ɪkspænʃʌn/
identity,/aɪdɛntʌti/
context,/kɑntɛkst/
controlled,/kʌntroʊld/
images,/ɪmʌdʒʌz/
organizations,/ɔrɡʌnʌzeɪʃʌnz/
derived,/dɝaɪvd/
administration,/ædmɪnɪstreɪʃʌn/
bodies,/bɑdiz/
opposed,/ʌpoʊzd/
friend,/frɛnd/
chosen,/tʃoʊzʌn/
greatly,/ɡreɪtli/
designs,/dɪzaɪnz/
nations,/neɪʃʌnz/
surrounding,/sɝaʊndɪŋ/
urban,/ɝbʌn/
zero,/zɪroʊ/
otherwise,/ʌðɝwaɪz/
error,/ɛrɝ/
native,/neɪtɪv/
setting,/sɛtɪŋ/
gained,/ɡeɪnd/
why,/waɪ/
territory,/tɛrɪtɔri/
acts,/ækts/
artists,/ɑrtʌsts/
communication,/kʌmjunʌkeɪʃʌn/
launched,/lɔntʃt/
regional,/ridʒʌnʌl/
card,/kɑrd/
freedom,/fridʌm/
coast,/koʊst/
visible,/vɪzʌbʌl/
begin,/bɪɡɪn/
contract,/kɑntrækt/
arms,/ɑrmz/
showing,/ʃoʊɪŋ/
message,/mɛsʌdʒ/
generation,/dʒɛnɝeɪʃʌn/
nine,/naɪn/
leaves,/livz/
stone,/stoʊn/
ran,/ræn/
global,/ɡloʊbʌl/
popularity,/pɑpjʌlɛrʌti/
broadcast,/brɔdkæst/
minor,/maɪnɝ/
sites,/saɪts/
instruments,/ɪnstrʌmʌnts/
improve,/ɪmpruv/
wall,/wɔl/
contemporary,/kʌntɛmpɝɛri/
soil,/sɔɪl/
carbon,/kɑrbʌn/
conducted,/kʌndʌktʌd/
symbol,/sɪmbʌl/
operate,/ɑpɝeɪt/
somewhat,/sʌmwʌt/
news,/nuz/
communities,/kʌmjunʌtiz/
developing,/dɪvɛlʌpɪŋ/
influenced,/ɪnfluʌnst/
domestic,/dʌmɛstɪk/
port,/pɔrt/
machines,/mʌʃinz/
figures,/fɪɡjɝz/
views,/vjuz/
got,/ɡɑt/
declared,/dɪklɛrd/
note,/noʊt/
search,/sɝtʃ/
contained,/kʌnteɪnd/
employed,/ɛmplɔɪd/
input,/ɪnpʊt/
step,/stɛp/
bridge,/brɪdʒ/
respect,/rɪspɛkt/
worldwide,/wɝldwaɪd/
captured,/kæptʃɝd/
want,/wɑnt/
maintained,/meɪnteɪnd/
route,/rut/
achieve,/ʌtʃiv/
publication,/pʌblɪkeɪʃʌn/
consider,/kʌnsɪdɝ/
magazine,/mæɡʌzin/
orders,/ɔrdɝz/
winning,/wɪnɪŋ/
formation,/fɔrmeɪʃʌn/
ring,/rɪŋ/
reports,/rɪpɔrts/
onto,/ɑntu/
subsequent,/sʌbsʌkwʌnt/
details,/dɪteɪlz/
safety,/seɪfti/
storage,/stɔrʌdʒ/
plane,/pleɪn/
climate,/klaɪmʌt/
accept,/æksɛpt/
connection,/kʌnɛkʃʌn/
dark,/dɑrk/
managed,/mænʌdʒd/
practical,/præktʌkʌl/
shared,/ʃɛrd/
measures,/mɛʒɝz/
visit,/vɪzʌt/
capable,/keɪpʌbʌl/
movie,/muvi/
spring,/sprɪŋ/
calls,/kɔlz/
independence,/ɪndɪpɛndʌns/
obtained,/ʌbteɪnd/
aspects,/æspɛkts/
dance,/dæns/
learning,/lɝnɪŋ/
opposition,/ɑpʌzɪʃʌn/
begins,/bɪɡɪnz/
towns,/taʊnz/
split,/splɪt/
brain,/breɪn/
technical,/tɛknɪkʌl/
directed,/dɝɛktʌd/
introduction,/ɪntrʌdʌkʃʌn/
belief,/bɪlif/
border,/bɔrdɝ/
owned,/oʊnd/
doing,/duɪŋ/
involves,/ɪnvɑlvz/
suffered,/sʌfɝd/
transfer,/trænsfɝ/
offers,/ɔfɝz/
enemy,/ɛnʌmi/
correct,/kɝɛkt/
possibly,/pɑsʌbli/
oxygen,/ɑksʌdʒʌn/
greatest,/ɡreɪtʌst/
exists,/ɪɡzɪsts/
measured,/mɛʒɝd/
closely,/kloʊsli/
policies,/pɑlʌsiz/
dedicated,/dɛdʌkeɪtʌd/
press,/prɛs/
producing,/prʌdusɪŋ/
scholars,/skɑlɝz/
steel,/stil/
heard,/hɝd/
accounts,/ʌkaʊnts/
usage,/jusʌdʒ/
computers,/kʌmpjutɝz/
daily,/deɪli/
walls,/wɔlz/
fiction,/fɪkʃʌn/
rejected,/rɪdʒɛktɪd/
stable,/steɪbʌl/
score,/skɔr/
engineering,/ɛndʒʌnɪrɪŋ/
ensure,/ɛnʃʊr/
indicate,/ɪndʌkeɪt/
mentioned,/mɛnʃʌnd/
eastern,/istɝn/
path,/pæθ/
skin,/skɪn/
proper,/prɑpɝ/
trial,/traɪʌl/
oldest,/oʊldʌst/
statement,/steɪtmʌnt/
mixed,/mɪkst/
officially,/ʌfɪʃʌli/
portion,/pɔrʃʌn/
reality,/riælʌti/
dry,/draɪ/
heavily,/hɛvʌli/
height,/haɪt/
authors,/ɔθɝz/
fast,/fæst/
hundred,/hʌndrʌd/
specifically,/spʌsɪfɪkli/
author,/ɔθɝ/
block,/blɑk/
channel,/tʃænʌl/
string,/strɪŋ/
institutions,/ɪnstɪtuʃʌnz/
instrument,/ɪnstrʌmʌnt/
residents,/rɛzɪdʌnts/
combat,/kɑmbæt/
selected,/sʌlɛktʌd/
vehicles,/vihɪkʌlz/
coming,/kʌmɪŋ/
manner,/mænɝ/
rarely,/rɛrli/
goes,/ɡoʊz/
hot,/hɑt/
pair,/pɛr/
royal,/rɔɪʌl/
neither,/niðɝ/
organized,/ɔrɡʌnaɪzd/
effectively,/ɪfɛktɪvli/
expensive,/ɪkspɛnsɪv/
really,/rɪli/
suggests,/sʌɡdʒɛsts/
processing,/prɑsɛsɪŋ/
opposite,/ɑpʌzʌt/
severe,/sʌvɪr/
operated,/ɑpɝeɪtʌd/
depends,/dɪpɛndz/
characteristics,/kɛrʌktɝɪstɪks/
regarding,/rʌɡɑrdɪŋ/
yards,/jɑrdz/
enter,/ɛntɝ/
interests,/ɪntrʌsts/
glass,/ɡlæs/
college,/kɑlɪdʒ/
practices,/præktʌsʌz/
testing,/tɛstɪŋ/
bands,/bændz/
trees,/triz/
ends,/ɛndz/
facilities,/fʌsɪlʌtiz/
faith,/feɪθ/
grow,/ɡroʊ/
slow,/sloʊ/
armed,/ɑrmd/
churches,/tʃɝtʃʌz/
mode,/moʊd/
background,/bækɡraʊnd/
job,/dʒɑb/
writers,/raɪtɝz/
defeated,/dɪfitʌd/
cable,/keɪbʌl/
leadership,/lidɝʃɪp/
transmission,/trænsmɪʃʌn/
patterns,/pætɝnz/
thing,/θɪŋ/
density,/dɛnsʌti/
attached,/ʌtætʃt/
big,/bɪɡ/
bottom,/bɑtʌm/
atmosphere,/ætmʌsfɪr/
networks,/nɛtwɝks/
degrees,/dɪɡriz/
dropped,/drɑpt/
electronic,/ɪlɛktrɑnɪk/
strongly,/strɔŋli/
items,/aɪtʌmz/
roles,/roʊlz/
translation,/trænzleɪʃʌn/
pages,/peɪdʒʌz/
apply,/ʌplaɪ/
assigned,/ʌsaɪnd/
signals,/sɪɡnʌlz/
extent,/ɪkstɛnt/
viewed,/vjud/
debate,/dʌbeɪt/
minimum,/mɪnʌmʌm/
periods,/pɪriʌdz/
programming,/proʊɡræmɪŋ/
visited,/vɪzʌtʌd/
ultimately,/ʌltʌmʌtli/
frame,/freɪm/
hardware,/hɑrdwɛr/
prices,/praɪsʌz/
whereas,/wɛræz/
establish,/ɪstæblɪʃ/
permanent,/pɝmʌnʌnt/
holds,/hoʊldz/
strategy,/strætʌdʒi/
escape,/ɪskeɪp/
authorities,/ʌθɔrʌtiz/
acting,/æktɪŋ/
join,/dʒɔɪn/
listed,/lɪstʌd/
sex,/sɛks/
edge,/ɛdʒ/
screen,/skrin/
decade,/dɛkeɪd/
critics,/krɪtɪks/
cold,/koʊld/
continuous,/kʌntɪnjuʌs/
generated,/dʒɛnɝeɪtʌd/
solid,/sɑlʌd/
violence,/vaɪʌlʌns/
liquid,/lɪkwʌd/
iron,/aɪɝn/
investment,/ɪnvɛstmʌnt/
sufficient,/sʌfɪʃʌnt/
composition,/kɑmpʌzɪʃʌn/
broke,/broʊk/
experienced,/ɪkspɪriʌnst/
et,/ɛt/
exactly,/ɪɡzæktli/
map,/mæp/
ratio,/reɪʃioʊ/
documents,/dɑkjʌmʌnts/
anything,/ɛniθɪŋ/
questions,/kwɛstʃʌnz/
twice,/twaɪs/
converted,/kʌnvɝtɪd/
elections,/ɪlɛkʃʌnz/
slaves,/sleɪvz/
threat,/θrɛt/
studio,/studioʊ/
contributed,/kʌntrɪbjutɪd/
household,/haʊshoʊld/
wind,/waɪnd/
train,/treɪn/
truth,/truθ/
changing,/tʃeɪndʒɪŋ/
rural,/rʊrʌl/
sales,/seɪlz/
secret,/sikrʌt/
bus,/bʌs/
football,/fʊtbɔl/
movements,/muvmʌnts/
theories,/θɪriz/
labor,/leɪbɝ/
modified,/mɑdʌfaɪd/
cross,/krɔs/
expression,/ɪksprɛʃʌn/
stock,/stɑk/
atoms,/ætʌmz/
chain,/tʃeɪn/
earth,/ɝθ/
leads,/lidz/
understand,/ʌndɝstænd/
box,/bɑks/
impossible,/ɪmpɑsʌbʌl/
principles,/prɪnsʌpʌlz/
requirements,/rɪkwaɪrmʌnts/
weather,/wɛðɝ/
considerable,/kʌnsɪdɝʌbʌl/
director,/dɝɛktɝ/
earliest,/ɝliʌst/
vehicle,/vihɪkʌl/
moral,/mɔrʌl/
district,/dɪstrɪkt/
literary,/lɪtɝɛri/
respectively,/rɪspɛktɪvli/
am,/æm/
prepared,/pripɛrd/
subsequently,/sʌbsʌkwʌntli/
preferred,/prʌfɝd/
trying,/traɪɪŋ/
sports,/spɔrts/
mechanism,/mɛkʌnɪzʌm/
concerned,/kʌnsɝnd/
courts,/kɔrts/
task,/tæsk/
treated,/tritʌd/
voltage,/voʊltʌdʒ/
translated,/trænzleɪtʌd/
hydrogen,/haɪdrʌdʒʌn/
inspired,/ɪnspaɪɝd/
victory,/vɪktɝi/
advance,/ʌdvæns/
appropriate,/ʌproʊpriʌt/
faster,/fæstɝ/
nearby,/nɪrbaɪ/
theme,/θim/
drawn,/drɔn/
standing,/stændɪŋ/
arts,/ɑrts/
parallel,/pɛrʌlɛl/
adding,/ædɪŋ/
component,/kʌmpoʊnʌnt/
relationships,/rileɪʃʌnʃɪps/
waves,/weɪvz/
focused,/foʊkʌst/
kill,/kɪl/
locations,/loʊkeɪʃʌnz/
notable,/noʊtʌbʌl/
printed,/prɪntʌd/
separated,/sɛpɝeɪtʌd/
resolution,/rɛzʌluʃʌn/
tools,/tulz/
officer,/ɔfʌsɝ/
essential,/ɪsɛnʃʌl/
medium,/midiʌm/
opportunity,/ɑpɝtunʌti/
solar,/soʊlɝ/
etc.,N/A
teaching,/titʃɪŋ/
argument,/ɑrɡjʌmʌnt/
don't,/doʊnt/
cultures,/kʌltʃɝz/
painting,/peɪntɪŋ/
tests,/tɛsts/
bit,/bɪt/
amounts,/ʌmaʊnts/
molecules,/mɑlʌkjulz/
roads,/roʊdz/
launch,/lɔntʃ/
crime,/kraɪm/
fleet,/flit/
holding,/hoʊldɪŋ/
learned,/lɝnd/
stay,/steɪ/
stored,/stɔrd/
pure,/pjʊr/
balance,/bælʌns/
successfully,/sʌksɛsfʌli/
picture,/pɪktʃɝ/
politics,/pɑlʌtɪks/
circuit,/sɝkʌt/
request,/rɪkwɛst/
environmental,/ɪnvaɪrʌnmɛntʌl/
distributed,/dɪstrɪbjʌtʌd/
produces,/prʌdusʌz/
affect,/ʌfɛkt/
prime,/praɪm/
revealed,/rɪvild/
eye,/aɪ/
universe,/junʌvɝs/
fans,/fænz/
patients,/peɪʃʌnts/
wood,/wʊd/
governments,/ɡʌvɝmʌnts/
occasionally,/ʌkeɪʒʌnʌli/
selection,/sʌlɛkʃʌn/
taught,/tɔt/
acquired,/ʌkwaɪɝd/
fundamental,/fʌndʌmɛntʌl/
linear,/lɪniɝ/
choose,/tʃuz/
episodes,/ɛpʌsoʊdz/
floor,/flɔr/
angle,/æŋɡʌl/
incorporated,/ɪnkɔrpɝeɪtʌd/
try,/traɪ/
benefit,/bɛnʌfɪt/
description,/dɪskrɪpʃʌn/
die,/daɪ/
studied,/stʌdid/
dates,/deɪts/
artist,/ɑrtʌst/
flat,/flæt/
protein,/proʊtin/
concluded,/kʌnkludʌd/
hundreds,/hʌndrʌdz/
speak,/spik/
extra,/ɛkstrʌ/
subjects,/sʌbdʒɪkts/
approved,/ʌpruvd/
electrons,/ɪlɛktrɑnz/
chance,/tʃæns/
easy,/izi/
implemented,/ɪmplʌmɛntʌd/
husband,/hʌzbʌnd/
ideal,/aɪdil/
planning,/plænɪŋ/
concepts,/kɑnsɛpts/
grown,/ɡroʊn/
understood,/ʌndɝstʊd/
extreme,/ɪkstrim/
intelligence,/ɪntɛlʌdʒʌns/
quantum,/kwɑntʌm/
receiving,/rʌsivɪŋ/
online,/ɔnlaɪn/
knew,/nu/
unless,/ʌnlɛs/
rapid,/ræpʌd/
shall,/ʃæl/
academic,/ækʌdɛmɪk/
reputation,/rɛpjʌteɪʃʌn/
experiments,/ɪkspɛrʌmʌnts/
explained,/ɪkspleɪnd/
park,/pɑrk/
eyes,/aɪz/
sections,/sɛkʃʌnz/
audio,/ɑdioʊ/
persons,/pɝsʌnz/
store,/stɔr/
budget,/bʌdʒɪt/
corresponding,/kɔrʌspɑndɪŋ/
sister,/sɪstɝ/
charged,/tʃɑrdʒd/
broken,/broʊkʌn/
capture,/kæptʃɝ/
script,/skrɪpt/
rich,/rɪtʃ/
moves,/muvz/
opera,/ɑprʌ/
progress,/prɑɡrɛs/
logic,/lɑdʒɪk/
massive,/mæsɪv/
root,/rut/
assumed,/ʌsumd/
writer,/raɪtɝ/
post,/poʊst/
domain,/doʊmeɪn/
foot,/fʊt/
link,/lɪŋk/
bank,/bæŋk/
library,/laɪbrɛri/
document,/dɑkjʌmɛnt/
someone,/sʌmwʌn/
criticism,/krɪtɪsɪzʌm/
everything,/ɛvriθɪŋ/
huge,/hjudʒ/
linked,/lɪŋkt/
performances,/pɝfɔrmʌnsʌz/
represents,/rɛprʌzɛnts/
seats,/sits/
thousand,/θaʊzʌnd/
obtain,/ʌbteɪn/
bad,/bæd/
mechanical,/mʌkænɪkʌl/
crisis,/kraɪsʌs/
clearly,/klɪrli/
colors,/kʌlɝz/
sample,/sæmpʌl/
instructions,/ɪnstrʌkʃʌnz/
circumstances,/sɝkʌmstænsʌz/
electrical,/ɪlɛktrɪkʌl/
inner,/ɪnɝ/
scenes,/sinz/
copies,/kɑpiz/
e.g,N/A
funds,/fʌndz/
prominent,/prɑmʌnʌnt/
straight,/streɪt/
personnel,/pɝsʌnɛl/
rank,/ræŋk/
adult,/ʌdʌlt/
stand,/stænd/
losses,/lɔsʌz/
speaking,/spikɪŋ/
ago,/ʌɡoʊ/
exact,/ɪɡzækt/
category,/kætʌɡɔri/
fit,/fɪt/
housing,/haʊzɪŋ/
necessarily,/nɛsʌsɛrʌli/
attended,/ʌtɛndʌd/
limits,/lɪmʌts/
mark,/mɑrk/
couple,/kʌpʌl/
roughly,/rʌfli/
seasons,/sizʌnz/
widespread,/waɪdsprɛd/
remove,/rimuv/
street,/strit/
opinion,/ʌpɪnjʌn/
review,/rivju/
concern,/kʌnsɝn/
entry,/ɛntri/
wear,/wɛr/
decisions,/dɪsɪʒʌnz/
exception,/ɪksɛpʃʌn/
identify,/aɪdɛntʌfaɪ/
categories,/kætʌɡɔriz/
compounds,/kɑmpaʊndz/
council,/kaʊnsʌl/
efficient,/ɪfɪʃʌnt/
algorithm,/ælɡɝɪðʌm/
markets,/mɑrkʌts/
performing,/pɝfɔrmɪŋ/
suitable,/sutʌbʌl/
electron,/ɪlɛktrɑn/
males,/meɪlz/
reaching,/ritʃɪŋ/
serving,/sɝvɪŋ/
slowly,/sloʊli/
possibility,/pɑsʌbɪlʌti/
stages,/steɪdʒʌz/
horse,/hɔrs/
skills,/skɪlz/
concerns,/kʌnsɝnz/
collected,/kʌlɛktʌd/
mental,/mɛntʌl/
moment,/moʊmʌnt/
younger,/jʌŋɡɝ/
let,/lɛt/
manufacturing,/mænjʌfæktʃɝɪŋ/
suggest,/sʌɡdʒɛst/
recognition,/rɛkʌɡnɪʃʌn/
variable,/vɛriʌbʌl/
village,/vɪlʌdʒ/
add,/æd/
substantial,/sʌbstæntʃʌl/
styles,/staɪlz/
detailed,/dɪteɪld/
visual,/vɪʒʌwʌl/
learn,/lɝn/
tells,/tɛlz/
weak,/wik/
guitar,/ɡɪtɑr/
defeat,/dɪfit/
delivered,/dɪlɪvɝd/
ending,/ɛndɪŋ/
feel,/fil/
passing,/pæsɪŋ/
abandoned,/ʌbændʌnd/
discovery,/dɪskʌvɝi/
poetry,/poʊʌtri/
lowest,/loʊʌst/
mathematical,/mæθʌmætɪkʌl/
apparent,/ʌpɛrʌnt/
designated,/dɛzɪɡneɪtɪd/
gun,/ɡʌn/
varies,/vɛriz/
seem,/sim/
ethnic,/ɛθnɪk/
gradually,/ɡrædʒuʌli/
newly,/nuli/
plot,/plɑt/
supporting,/sʌpɔrtɪŋ/
and/or,N/A
reducing,/rʌdusɪŋ/
confirmed,/kʌnfɝmd/
hair,/hɛr/
supplies,/sʌplaɪz/
zone,/zoʊn/
looking,/lʊkɪŋ/
drug,/drʌɡ/
involving,/ɪnvɑlvɪŋ/
pain,/peɪn/
sell,/sɛl/
brief,/brif/
constitution,/kɑnstʌtuʃʌn/
benefits,/bɛnʌfɪts/
declined,/dɪklaɪnd/
efficiency,/ɪfɪʃʌnsi/
spiritual,/spɪrɪtʃʌwʌl/
titles,/taɪtʌlz/
channels,/tʃænʌlz/
explain,/ɪkspleɪn/
fear,/fɪr/
merely,/mɪrli/
representation,/rɛprʌzɛnteɪʃʌn/
filled,/fɪld/
instruction,/ɪnstrʌkʃʌn/
perfect,/pɝfɛkt/
orbit,/ɔrbʌt/
replace,/ripleɪs/
guns,/ɡʌnz/
tracks,/træks/
goals,/ɡoʊlz/
articles,/ɑrtʌkʌlz/
lands,/lændz/
matters,/mætɝz/
conventional,/kʌnvɛnʃʌnʌl/
apart,/ʌpɑrt/
encouraged,/ɛnkɝɪdʒd/
newspaper,/nuzpeɪpɝ/
probability,/prɑbʌbɪlʌti/
settlement,/sɛtʌlmʌnt/
silver,/sɪlvɝ/
succeeded,/sʌksidʌd/
symptoms,/sɪmptʌmz/
joint,/dʒɔɪnt/
populations,/pɑpjʌleɪʃʌnz/
transition,/trænzɪʃʌn/
vast,/væst/
legislation,/lɛdʒʌsleɪʃʌn/
theorem,/θɪrʌm/
votes,/voʊts/
immediate,/ɪmidiʌt/
mountains,/maʊntʌnz/
adapted,/ʌdæptʌd/
fifth,/fɪfθ/
fine,/faɪn/
genetic,/dʒʌnɛtɪk/
signs,/saɪnz/
assistance,/ʌsɪstʌns/
consumption,/kʌnsʌmpʃʌn/
existed,/ɪɡzɪstʌd/
indicated,/ɪndʌkeɪtʌd/
symbols,/sɪmbʌlz/
traditions,/trʌdɪʃʌnz/
settled,/sɛtʌld/
prison,/prɪzʌn/
spaces,/speɪsʌz/
bass,/bæs/
formula,/fɔrmjʌlʌ/
scientists,/saɪʌntɪsts/
transferred,/trænsfɝd/
shift,/ʃɪft/
chose,/tʃoʊz/
entitled,/ɛntaɪtʌld/
kingdom,/kɪŋdʌm/
save,/seɪv/
shortly,/ʃɔrtli/
candidates,/kændʌdeɪts/
mountain,/maʊntʌn/
one's,/wʌnz/
desire,/dɪzaɪɝ/
mobile,/moʊbʌl/
send,/sɛnd/
lot,/lɑt/
sugar,/ʃʊɡɝ/
taxes,/tæksʌz/
trading,/treɪdɪŋ/
interpretation,/ɪntɝprɪteɪʃʌn/
else,/ɛls/
proof,/pruf/
reform,/rʌfɔrm/
serves,/sɝvz/
charges,/tʃɑrdʒʌz/
bits,/bɪts/
committed,/kʌmɪtʌd/
secure,/sɪkjʊr/
steps,/stɛps/
fewer,/fjuɝ/
infrastructure,/ɪnfrʌstrʌktʃɝ/
seek,/sik/
outer,/aʊtɝ/
relation,/rileɪʃʌn/
sort,/sɔrt/
absolute,/æbsʌlut/
drop,/drɑp/
files,/faɪlz/
interface,/ɪntɝfeɪs/
net,/nɛt/
implementation,/ɪmplʌmɛnteɪʃʌn/
returning,/rɪtɝnɪŋ/
bound,/baʊnd/
decline,/dɪklaɪn/
morning,/mɔrnɪŋ/
variations,/vɛrieɪʃʌnz/
vector,/vɛktɝ/
absence,/æbsʌns/
attributed,/ʌtrɪbjʌtʌd/
cancer,/kænsɝ/
membership,/mɛmbɝʃɪp/
responsibility,/rispɑnsʌbɪlʌti/
spirit,/spɪrʌt/
chief,/tʃif/
classified,/klæsʌfaɪd/
discussed,/dɪskʌst/
discussion,/dɪskʌʃʌn/
landing,/lændɪŋ/
principal,/prɪnsʌpʌl/
historians,/hɪstɔriʌnz/
camera,/kæmɝʌ/
branch,/bræntʃ/
ordinary,/ɔrdʌnɛri/
regularly,/rɛɡjʌlɝli/
e.g.,N/A
survive,/sɝvaɪv/
agents,/eɪdʒʌnts/
proteins,/proʊtinz/
seconds,/sɛkʌndz/
universal,/junʌvɝsʌl/
interview,/ɪntɝvju/
accompanied,/ʌkʌmpʌnid/
arrested,/ɝɛstʌd/
distinction,/dɪstɪŋkʃʌn/
reign,/reɪn/
specified,/spɛsʌfaɪd/
repeated,/rɪpitɪd/
accurate,/ækjɝʌt/
agricultural,/æɡrʌkʌltʃɝʌl/
jobs,/dʒɑbz/
unusual,/ʌnjuʒʌwʌl/
carrying,/kæriɪŋ/
mounted,/maʊntʌd/
executed,/ɛksʌkjutʌd/
vessels,/vɛsʌlz/
yellow,/jɛloʊ/
easier,/iziɝ/
evolved,/ɪvɑlvd/
peak,/pik/
permitted,/pɝmɪtʌd/
promote,/prʌmoʊt/
seat,/sit/
suit,/sut/
arranged,/ɝeɪndʒd/
tube,/tub/
unlike,/ʌnlaɪk/
evolution,/ɛvʌluʃʌn/
reduction,/rʌdʌkʃʌn/
union,/junjʌn/
writings,/raɪtɪŋz/
dangerous,/deɪndʒɝʌs/
wild,/waɪld/
dependent,/dɪpɛndʌnt/
diameter,/daɪæmʌtɝ/
pilot,/paɪlʌt/
survived,/sɝvaɪvd/
usual,/juʒʌwʌl/
define,/dɪfaɪn/
equation,/ɪkweɪʒʌn/
noise,/nɔɪz/
particle,/pɑrtʌkʌl/
rail,/reɪl/
circle,/sɝkʌl/
installed,/ɪnstɔld/
interior,/ɪntɪriɝ/
none,/nʌn/
sounds,/saʊndz/
streets,/strits/
